Family,pathogen_species,Disease,Reservoir_order,spill_type,Reservoir_spill_notes,Reservoir_spill_reference,CFR_low,CFR_high,CFR_avg,CFR_notes,CFR_reference,transmissibility,transmissibility_notes,transmissibility_reference,transmission_route_primary,transmission_route_notes,transmission_route_reference,Cell,cell_notes,cell_reference,Synonym,Type,Motility,Spore,PubMed.records.log
Rickettsiaceae,Orientia tsutsugamushi,Scrub typhus; Bush typhus,Rodentia,direct,Woradee Lurchachaiwong et al. 2012,", Yoshimizu and Billeter, 2018",0.06,0.06,0.06,Case fatality rate of scrub typhus is 6% for untreated and 1.4% for treated cases,"Bhattarai et al. 2020, Drexler et al. 2016",0,,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr , Drexler et al. 2016",vector,chigger mites,"Lee et al. 2020 , Yoshimizu and Billeter, 2018",Obligate intracellular,NA,Shaw et al. 2020,"Theileria tsutsugamushi; Rickettsia tsutsugamushi; Rickettsia orientalis, etc.",Bacteria,Non-motile,No,2.870404
Anaplasmataceae,Neorickettsia sennetsu,Sennetsi ehrlichiosis,Fish,direct,vector is trematode,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr, Chakraborty and Sarma, 2017",0,0,0,Deaths have not been reported,"https://www.cfsph.iastate.edu/DiseaseInfo/notes/Ehrlichiosis.pdf, Xu et al. 2017",0,transmitted by ingestion of raw fish,"Sabine Dittrich et al. 2015 , Chakraborty and Sarma, 2017",vector,trematode,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr#table419 , Chakraborty and Sarma, 2017",Obligate intracellular,NA,Shaw et al. 2020,Rickettsia sennetsu; Ehrlichia sennetsu,Bacteria,Non-motile,No,1
Enterobacteriaceae,Shigella dysenteriae,Shigellosis; Bacillary dysentery,Primates,not_zoonotic,human pathogen,"Mattock et al. 2017, https://www.ncbi.nlm.nih.gov/books/NBK8038/, Newton et al. 2009",0.067,0.067,0.067,,"Bennish et al. 1990, Newton et al. 2009",4,transmissibility of disease not specific bacteria strain,"https://www.cdc.gov/shigella/general-information.html , Newton et al. 2009",fecal_oral,,"Weir 2002 , Newton et al. 2009",Facultative intracellular,NA,Shaw et al. 2020,"Shigella shigae; Eberthella dysenteriae; Bacillus shigae, etc.",Bacteria,Non-motile,No,3.218536
Spirochaetaceae,Treponema pallidum,"Syphilis, Bejel, Yaws; Pinta",Primates,not_zoonotic,T. pallidum only infects humans;there is no animal reservoir.,"https://www.who.int/tdr/publications/disease_watch/syphilis/en/, Hale and Keusch, 1996",0.1,0.1,0.1,"Before penicillin, the syphilis case-fatality rate was 10% within 40 years.","Peterman et. al 2019, Bennish and Wojtyniak, 1991",4,sexually transmitted disease,", Hale and Keusch, 1996",bodily_fluids,,", Hale and Keusch, 1996",Extracellular,NA,Shaw et al. 2020,"Spironema pallidum; Spirochaeta pallida; Microspironema pallidum, etc.",Bacteria,Motile,No,3.633064
Clostridiaceae,Clostridium tetani,Tetanus,Environment,direct,,"https://www.who.int/news-room/fact-sheets/detail/tetanus, Peeling et al. 2017",0.13,0.13,0.13,NA,"https://www.ldh.la.gov/assets/oph/Center-PHCH/Center-CH/infectious-epi/Annuals/Tetanus_LaIDAnnual.pdf, Kent and Romanelli, 2008",0,pathogen is found in the soil naturally,", Peeling et al. 2017",via_environment,,"https://www.cdc.gov/tetanus/about/causes-transmission.html#:~:text=Stepping%20on%20nails%20or%20other,through%20injuries%20from%20contaminated%20objects. , Peeling et al. 2017",Extracellular,NA,Shaw et al. 2020,Bacillus tetani,Bacteria,Motile,Yes,2.773055
Borreliaceae,Borrelia crocidurae,Tick-borne relapsing fever,Rodentia,direct,reservoir for disease not specific strain of TBRF,"El Hadji Ibrahima Ndiaye et al. 2021, Hakim et al. 2021",0.05,0.1,0.075,"Untreated TBRF can cause serious complications, especially if infection occurs during pregnancy. Approximately 5-10% of untreated cases are fatal.","https://www.doh.wa.gov/YouandYourFamily/IllnessandDisease/TickborneRelapsingFever#:~:text=If%20you%20or%20your%20family,of%20untreated%20cases%20are%20fatal., Hakim et al. 2021",0,transmissibility of disease not specific bacteria strain,"https://www.doh.wa.gov/YouandYourFamily/IllnessandDisease/TickborneRelapsingFever#:~:text=just%20rustic%20cabins.-,How%20is%20tick%2Dborne%20relapsing%20fever%20spread%3F,from%20one%20person%20to%20another. https://www.cdc.gov/relapsing-fever/transmission/index.html , Hakim et al. 2021",vector,tick,"https://www.cdc.gov/relapsing-fever/transmission/index.html , Hakim et al. 2021",Extracellular,NA,Shaw et al. 2020,Spirochaeta crocidurae,Bacteria,Motile,No,1.716003
Borreliaceae,Borrelia hermsii,Tick-borne relapsing fever,Rodentia,direct,reservoir for disease not specific strain of TBRF,"El Hadji Ibrahima Ndiaye et al. 2021, Hakim et al. 2021",0.05,0.1,0.075,"Untreated TBRF can cause serious complications, especially if infection occurs during pregnancy. Approximately 5-10% of untreated cases are fatal.","https://www.doh.wa.gov/YouandYourFamily/IllnessandDisease/TickborneRelapsingFever#:~:text=If%20you%20or%20your%20family,of%20untreated%20cases%20are%20fatal., Hakim et al. 2021",0,transmissibility of disease not specific bacteria strain,"https://www.doh.wa.gov/YouandYourFamily/IllnessandDisease/TickborneRelapsingFever#:~:text=just%20rustic%20cabins.-,How%20is%20tick%2Dborne%20relapsing%20fever%20spread%3F,from%20one%20person%20to%20another. https://www.cdc.gov/relapsing-fever/transmission/index.html , Hakim et al. 2021",vector,tick,"https://www.cdc.gov/relapsing-fever/transmission/index.html , Hakim et al. 2021",Extracellular,NA,Shaw et al. 2020,Spirochaeta hermsi,Bacteria,Motile,No,2.374748
Borreliaceae,Borrelia hispanica,Tick-borne relapsing fever,Rodentia,direct,reservoir for disease not specific strain of TBRF,"El Hadji Ibrahima Ndiaye et al. 2021, Hakim et al. 2021",0.05,0.1,0.075,"Untreated TBRF can cause serious complications, especially if infection occurs during pregnancy. Approximately 5-10% of untreated cases are fatal.","https://www.doh.wa.gov/YouandYourFamily/IllnessandDisease/TickborneRelapsingFever#:~:text=If%20you%20or%20your%20family,of%20untreated%20cases%20are%20fatal., Hakim et al. 2021",0,transmissibility of disease not specific bacteria strain,"https://www.doh.wa.gov/YouandYourFamily/IllnessandDisease/TickborneRelapsingFever#:~:text=just%20rustic%20cabins.-,How%20is%20tick%2Dborne%20relapsing%20fever%20spread%3F,from%20one%20person%20to%20another. https://www.cdc.gov/relapsing-fever/transmission/index.html , Hakim et al. 2021",vector,tick,"https://www.cdc.gov/relapsing-fever/transmission/index.html , Hakim et al. 2021",Extracellular,NA,Shaw et al. 2020,Spirochaeta hispanica,Bacteria,Motile,No,1.491362
Borreliaceae,Borrelia latyschewii,Tick-borne relapsing fever,Rodentia,direct,reservoir for disease not specific strain of TBRF,"El Hadji Ibrahima Ndiaye et al. 2021, Hakim et al. 2021",0.05,0.1,0.075,"Untreated TBRF can cause serious complications, especially if infection occurs during pregnancy. Approximately 5-10% of untreated cases are fatal.","https://www.doh.wa.gov/YouandYourFamily/IllnessandDisease/TickborneRelapsingFever#:~:text=If%20you%20or%20your%20family,of%20untreated%20cases%20are%20fatal., Hakim et al. 2021",0,transmissibility of disease not specific bacteria strain,"https://www.doh.wa.gov/YouandYourFamily/IllnessandDisease/TickborneRelapsingFever#:~:text=just%20rustic%20cabins.-,How%20is%20tick%2Dborne%20relapsing%20fever%20spread%3F,from%20one%20person%20to%20another. https://www.cdc.gov/relapsing-fever/transmission/index.html , Hakim et al. 2021",vector,tick,"https://www.cdc.gov/relapsing-fever/transmission/index.html , Hakim et al. 2021",Extracellular,NA,Shaw et al. 2020,Spirochaeta latyschewi,Bacteria,Motile,No,0.30103
Borreliaceae,Borrelia miyamotoi,Tick-borne relapsing fever,Rodentia,direct,reservoir for disease not specific strain of TBRF,"El Hadji Ibrahima Ndiaye et al. 2021, Hakim et al. 2021",0.05,0.1,0.075,"Untreated TBRF can cause serious complications, especially if infection occurs during pregnancy. Approximately 5-10% of untreated cases are fatal.","https://www.doh.wa.gov/YouandYourFamily/IllnessandDisease/TickborneRelapsingFever#:~:text=If%20you%20or%20your%20family,of%20untreated%20cases%20are%20fatal., Hakim et al. 2021",0,transmissibility of disease not specific bacteria strain,"https://www.doh.wa.gov/YouandYourFamily/IllnessandDisease/TickborneRelapsingFever#:~:text=just%20rustic%20cabins.-,How%20is%20tick%2Dborne%20relapsing%20fever%20spread%3F,from%20one%20person%20to%20another. https://www.cdc.gov/relapsing-fever/transmission/index.html , Hakim et al. 2021",vector,tick,"https://www.cdc.gov/relapsing-fever/transmission/index.html , Hakim et al. 2021",Extracellular,NA,Shaw et al. 2020,Borrelia miyamotonis; Borrelia miyamotonii,Bacteria,Motile,No,2.369216
Borreliaceae,Borrelia parkeri,Tick-borne relapsing fever,Rodentia,direct,reservoir for disease not specific strain of TBRF,"El Hadji Ibrahima Ndiaye et al. 2021, Hakim et al. 2021",0.05,0.1,0.075,"Untreated TBRF can cause serious complications, especially if infection occurs during pregnancy. Approximately 5-10% of untreated cases are fatal.","https://www.doh.wa.gov/YouandYourFamily/IllnessandDisease/TickborneRelapsingFever#:~:text=If%20you%20or%20your%20family,of%20untreated%20cases%20are%20fatal., Hakim et al. 2021",0,transmissibility of disease not specific bacteria strain,"https://www.doh.wa.gov/YouandYourFamily/IllnessandDisease/TickborneRelapsingFever#:~:text=just%20rustic%20cabins.-,How%20is%20tick%2Dborne%20relapsing%20fever%20spread%3F,from%20one%20person%20to%20another. https://www.cdc.gov/relapsing-fever/transmission/index.html , Hakim et al. 2021",vector,tick,"https://www.cdc.gov/relapsing-fever/transmission/index.html , Hakim et al. 2021",Extracellular,NA,Shaw et al. 2020,Spirochaeta parkeri,Bacteria,Motile,No,1.414973
Borreliaceae,Borrelia persica,Tick-borne relapsing fever,Rodentia,direct,reservoir for disease not specific strain of TBRF,"El Hadji Ibrahima Ndiaye et al. 2021, Hakim et al. 2021",0.05,0.1,0.075,"Untreated TBRF can cause serious complications, especially if infection occurs during pregnancy. Approximately 5-10% of untreated cases are fatal.","https://www.doh.wa.gov/YouandYourFamily/IllnessandDisease/TickborneRelapsingFever#:~:text=If%20you%20or%20your%20family,of%20untreated%20cases%20are%20fatal., Hakim et al. 2021",0,transmissibility of disease not specific bacteria strain,"https://www.doh.wa.gov/YouandYourFamily/IllnessandDisease/TickborneRelapsingFever#:~:text=just%20rustic%20cabins.-,How%20is%20tick%2Dborne%20relapsing%20fever%20spread%3F,from%20one%20person%20to%20another. https://www.cdc.gov/relapsing-fever/transmission/index.html , Hakim et al. 2021",vector,tick,"https://www.cdc.gov/relapsing-fever/transmission/index.html , Hakim et al. 2021",Extracellular,NA,Shaw et al. 2020,Spirochaeta persica,Bacteria,Motile,No,1.518514
Bartonellaceae,Bartonella quintana,Trench fever,Primates,not_zoonotic,"Humans are the primary reservoir host for B. quintana, which, unlike most other Bartonella species","Li et al. 2013, Merck Manual, 2020",0,0,0,Mortality of trench fever is low,"https://www.ecdc.europa.eu/en/bartonella-quintana-infection-trench-fever/facts, Merck Manual, 2020",4,,"https://www.ecdc.europa.eu/en/bartonella-quintana-infection-trench-fever/facts#:~:text=quintana%20is%20transmitted%20from%20human,vector%20has%20not%20been%20established. , Merck Manual, 2020",vector,human body louse,"https://www.cdc.gov/bartonella/transmission/index.html , Merck Manual, 2020",Facultative intracellular,NA,Shaw et al. 2020,Wolhynia qintanae; Rochalimaea quintana; Rickettsia wolhynica,Bacteria,Motile,No,2.576341
Mycobacteriaceae,Mycobacterium tuberculosis,Tuberculosis,Primates,not_zoonotic,human pathogen,"Pai et al. 2016, Umulisa et al. 2016",0.07,0.35,0.21,The global case-fatality rates are reported to be between 7% and 35%,"Lin et al. 2014, Umulisa et al. 2016",4,respiratory infection that is contagious,", Umulisa et al. 2016",respiratory_droplets,,"https://www.cdc.gov/tb/topic/basics/howtbspreads.htm , Umulisa et al. 2016",Facultative intracellular,NA,Shaw et al. 2020,"Mycobacterium tuberculosis var. hominis; Mycobacterium tuberculosis typus humanus; Bacterium tuberculosis, etc.",Bacteria,Non-motile,No,4.671025
Francisellaceae,Francisella tularensis,Tularemia,Lagomorpha,direct,"rabbits, hares and muskrats","https://www.cdc.gov/tularemia/index.html, Lise E Nigrovic et al. 2008, Tiemersma et al. 2011",0.05,0.3,0.175,"Before antibiotics, the overall case fatality rate for all tularemia cases caused by F. tularensis subsp. tularensis was estimated to be 5-15%, with some Tularemia sources suggesting values up to 30%","https://www.cfsph.iastate.edu/Factsheets/pdfs/tularemia.pdf, Tiemersma et al. 2011",0,,"https://www.cdc.gov/tularemia/faq/index.html#:~:text=Tularemia%20is%20not%20known%20to,treated%20with%20the%20right%20antibiotics. , Turner et al. 2017",vector,"tick, deer fly","https://www.cdc.gov/tularemia/transmission/index.html#:~:text=tularensis%20bacteria%20can%20be%20transmitted,to%20become%20ill%20with%20tularemia. , Turner et al. 2017",Facultative intracellular,NA,Shaw et al. 2020,"Pasteurella tularensis; Francisella tularense; Brucella tularensis, etc.",Bacteria,Non-motile,No,3.410946
Rickettsiaceae,Rickettsia prowazekii,Typhus fever,Primates,not_zoonotic,"Worldwide, there are no reservoirs other than humans","https://www.ncbi.nlm.nih.gov/books/NBK448173/, State of New Jersey Department of Agriculture, 2003",0.1,0.4,0.25,The overall case fatality rate for untreated infections is 10 to 40%,"https://www.nj.gov/agriculture/divisions/ah/diseases/typhus.html, State of New Jersey Department of Agriculture, 2003",4,,"https://azdhs.gov/documents/preparedness/emergency-preparedness/zebra-manual/zm-s5-typhus-fever.pdf , State of New Jersey Department of Agriculture, 2003",vector,body lice,"https://www.cdc.gov/typhus/epidemic/index.html#:~:text=Epidemic%20typhus%20is%20spread%20to,now%20considered%20a%20rare%20disease. , State of New Jersey Department of Agriculture, 2003",Obligate intracellular,NA,Shaw et al. 2020,,Bacteria,Non-motile,No,2.802089
Rhabdoviridae,Alagoas vesiculovirus,Alagoas vesiculovirus,Cetartiodactyla,direct,data from Guth et al.,Guth et al.,0,0,0,,,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,0.60206
Arenaviridae,Junin mammarenavirus,Argentine hemorrhagic fever,Rodentia,direct,data from Guth et al.,Guth et al.,0.15,0.3,0.225,1,13,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Junn mammarenavirus; Junin virus; Junin arenavirus,Virus,NA,NA,0.477121
Rhabdoviridae,Australian bat lyssavirus,Australian bat lyssavirus,Chiroptera,direct,data from Guth et al.,Guth et al.,1,1,1,,Francis et al. 2014,1,data from Guth et al.,Guth et al.,animal_bite,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,2.267172
Herpesviridae,Macacine alphaherpesvirus 1,B virus infection,Primates,direct,data from Guth et al.,Guth et al.,0.8,0.8,0.8,1,11,1,data from Guth et al.,Guth et al.,animal_bite,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,CeHV-1; B virus; Cercopithecine herpesvirus 1; etc.,Virus,NA,NA,0.778151
Flaviviridae,Banzi virus,Banzi virus,Rodentia,direct,data from Guth et al.,Guth et al.,0,0,0,,Braack et al. 2018,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.50515
Flaviviridae,Banzi virus,Banzi virus,Rodentia,direct,data from Guth et al.,Guth et al.,0,0,0,,Braack et al. 2018,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.50515
Bunyaviridae,Black Creek Canal orthohantavirus,Black Creek Canal orthohantavirus,Rodentia,direct,data from Guth et al.,Guth et al.,0,0,0,,Khan et al. 1996,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,2.037426
Arenaviridae,Machupo mammarenavirus,Bolivian hemorrhagic fever; Black typhus; Ordog fever,Rodentia,direct,data from Guth et al.,Guth et al.,0.25,0.35,0.3,1,57,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Machupo virus,Virus,NA,NA,0.477121
Bornaviridae,Mammalian 1 bornavirus,Borna disease,Rodentia,direct,data from Guth et al.,Guth et al.,0.785714,0.785714,0.785714,1,21,1,data from Guth et al.,Guth et al.,unknown,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,0.30103
Poxviridae,Bovine papular stomatitis virus,Bovine papular stomatitis virus,Cetartiodactyla,direct,data from Guth et al.,Guth et al.,0,0,0,,Nomland and McKee 1952,1,data from Guth et al.,Guth et al.,skin_contact,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.845098
Arenaviridae,Brazilian mammarenavirus,Brazilian mammarenavirus,Rodentia,direct,data from Guth et al.,Guth et al.,0.333333,0.333333,0.333333,,https://wwwnc.cdc.gov/eid/article/26/6/20-0099_article,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,2.049218
Bunyaviridae,Bwamba orthobunyavirus,Bwamba fever,Unknown,Unknown,Natural reservoir is unknown,Julius J Lutwama et al. 2002,NA,NA,NA,NA,NA,NA,NA,NA,vector,wamba virus is an arthropod borne virus transmitted by mosquitoes,Julius J Lutwama et al. 2002,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Bwamba virus; Bwamba bunyavirus group; 5-Bwamba virus Group,Virus,NA,NA,0.30103
Bunyaviridae,California encephalitis orthobunyavirus,California encephalitis,Perissodactyla,bridged,data from Guth et al.,Guth et al.,0,0,0,1,12,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,California encephalitis virus,Virus,NA,NA,0.30103
Poxviridae,Camelpox virus,Camelpox,Cetartiodactyla,direct,data from Guth et al.,Guth et al.,0,0,0,1,4,1,data from Guth et al.,Guth et al.,skin_contact,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,1.897627
Bunyaviridae,Caraparu orthobunyavirus,Caraparu orthobunyavirus,Primates,direct,data from Guth et al.,Guth et al.,0,0,0,,Treangen et al. 2016,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,0.477121
Reoviridae,Changuinola virus,Changuinola virus,Pilosa,direct,data from Guth et al.,Guth et al.,0,0,0,,Silva et al. 2014,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.176091
Arenaviridae,Chapare mammarenavirus,Chapare mammarenavirus,Rodentia,direct,data from Guth et al.,Guth et al.,0.666667,0.666667,0.666667,,Escalera-Antezana et al. 2020,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.944483
Togaviridae,Chikungunya virus,Chikungunya,Primates,direct,data from Guth et al.,Guth et al.,2.00E-04,0.001,6.00E-04,1,33,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,3.41044
Bunyaviridae,Choclo orthohantavirus,Choclo orthohantavirus,Rodentia,direct,data from Guth et al.,Guth et al.,0.2,0.2,0.2,CFR calculated from Panama outbreak because no other data,,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,0.30103
Herpesviridae,Human alphaherpesvirus 1,Cold sore; Oral herpes,Primates,not_zoonotic,NA,NA,0,0,0,NA,NA,4,NA,NA,skin_contact,NA,NA,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,"HSV1; Herpes simplex virus type 1; Human herpesvirus 1, etc.",Virus,NA,NA,0.845098
Reoviridae,Colorado tick fever virus,Colorado tick fever; Mountain tick fever; American tick fever,Rodentia,direct,data from Guth et al.,Guth et al.,0.013,0.013,0.013,,Yendell et al. 2015,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,1.875061
Coronaviridae,Betacoronavirus 1,Common cold,Primates,not_zoonotic,proxy for all common cold,Wat et al. 2004,0,0,0,proxy for all common cold,Wat et al. 2004,4,proxy for all common cold,,respiratory_droplets,proxy for all common cold,,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,1.278754
Coronaviridae,Human coronavirus 229E,Common cold,Primates,not_zoonotic,proxy for all common cold,Wat et al. 2004,0,0,0,proxy for all common cold,Wat et al. 2004,4,proxy for all common cold,,respiratory_droplets,proxy for all common cold,,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,"Human coronavirus strain 229E; Coronavirus 229E; Human coronavirus serogroup 229E, etc.",Virus,NA,NA,2.267172
Poxviridae,Orf virus,Contagious ecthyma; Orf,Cetartiodactyla,direct,data from Guth et al.,Guth et al.,0,0,0,1,1,1,data from Guth et al.,Guth et al.,skin_contact,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Contagious pustular dermatitis virus,Virus,NA,NA,2.64836
Poxviridae,Cowpox virus,Cowpox,Rodentia,bridged,data from Guth et al.,Guth et al.,0,0,0,1,3,1,data from Guth et al.,Guth et al.,skin_contact,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,2.793092
Bunyaviridae,Crimean-Congo hemorrhagic fever nairovirus,Crimean-Congo haemorrhagic fever,Vector,direct,"Ixodid (hard) ticks, especially those of the genus, Hyalomma, are both a reservoir and a vector for the CCHF virus.",https://www.cdc.gov/vhf/crimean-congo/transmission/index.html,0.1,0.4,0.25,"CCHF outbreaks constitute a threat to public health services as the virus can lead to epidemics, has a high case fatality ratio (10-40%)",https://www.who.int/health-topics/crimean-congo-haemorrhagic-fever#tab=tab_1,1,Transmission to humans occurs through contact with infected ticks or animal blood. CCHF can be transmitted from one infected human to another by contact with infectious blood or body fluids.,https://www.cdc.gov/vhf/crimean-congo/transmission/index.html,vector,Transmission to humans occurs through contact with infected ticks or animal blood. CCHF can be transmitted from one infected human to another by contact with infectious blood or body fluids.,https://www.cdc.gov/vhf/crimean-congo/transmission/index.html,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Crimean-Congo hemorrhagic virus; Crimean-Congo hemorrhagic fever virus; Crimean-Congo haemorrhagic fever virus,Virus,NA,NA,0.30103
Flaviviridae,Dengue virus,Dengue fever; Dengue shock syndrome,Primates,direct,data from Guth et al.,Guth et al.,0.00116,0.00116,0.00116,14,43,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,3.945025
Rhabdoviridae,Duvenhage lyssavirus,Duvenhage lyssavirus,Chiroptera,direct,data from Guth et al.,Guth et al.,1,1,1,,Paweska et al. 2007,1,data from Guth et al.,Guth et al.,animal_bite,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,2.167317
Rhabdoviridae,Duvenhage lyssavirus,Duvenhage lyssavirus,Chiroptera,direct,data from Guth et al.,Guth et al.,1,1,1,,Thiel et al. Fatal case of human rabies from a bat in Kenya. https://www.eurosurveillance.org/content/10.2807/ese.13.02.08007-en,1,data from Guth et al.,Guth et al.,animal_bite,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,2.167317
Togaviridae,Eastern equine encephalitis virus,Eastern equine encephalitis; Triple E; Sleeping sickness,Aves,direct,data from Guth et al.,Guth et al.,0.33,0.33,0.33,1,39,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Eastern equine encephalomyelitis virus EEEV; Eastern equine encephalomyelitis EEE; Eastern equine encephalomyelitis virus,Virus,NA,NA,2.466868
Filoviridae,Tai Forest ebolavirus,Ebola hemorrhagic fever,Chiroptera,direct,data from Guth et al.,Guth et al.,0.76,0.76,0.76,1,18,1,data from Guth et al.,Guth et al.,bodily_fluids,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,"CIEBOV; Ivory Coast ebolavirus; Cote d'Ivoire ebolavirus, etc.",Virus,NA,NA,1.041393
Filoviridae,Zaire ebolavirus,Ebola hemorrhagic fever,Chiroptera,direct,data from Guth et al.,Guth et al.,0.76,0.76,0.76,1,18,1,data from Guth et al.,Guth et al.,bodily_fluids,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Zaire Ebola virus,Virus,NA,NA,2.394452
Rhabdoviridae,European bat 1 lyssavirus,European bat 1 lyssavirus,Chiroptera,direct,data from Guth et al.,Guth et al.,1,1,1,,Fooks et al. 2003,1,data from Guth et al.,Guth et al.,animal_bite,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,2.064458
Rhabdoviridae,European bat 1 lyssavirus,European bat 1 lyssavirus,Chiroptera,direct,data from Guth et al.,Guth et al.,1,1,1,,Fooks et al. 2003,1,data from Guth et al.,Guth et al.,animal_bite,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,2.064458
Rhabdoviridae,European bat 2 lyssavirus,European bat 2 lyssavirus,Chiroptera,direct,data from Guth et al.,Guth et al.,1,1,1,,Fooks et al. 2003,1,data from Guth et al.,Guth et al.,animal_bite,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.886491
Rhabdoviridae,European bat 2 lyssavirus,European bat 2 lyssavirus,Chiroptera,direct,data from Guth et al.,Guth et al.,1,1,1,,Fooks et al. 2003,1,data from Guth et al.,Guth et al.,animal_bite,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.886491
Picornaviridae,Foot-and-mouth disease virus,Foot-and-mouth disease,Cetartiodactyla,direct,data from Guth et al.,Guth et al.,0,0,0,1,6,1,data from Guth et al.,Guth et al.,skin_contact,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Foot and mouth disease virus; Foot-and-mouth disease virus FMDV; Foot and mouth disease virus FMDV,Virus,NA,NA,3.625518
